Normalized tag,Clean,Mitch's Category,Laura's Category,Model,Field
boyle5404b69912,Boyle 540.4 B699.12,Call Number,Call Number,Copy,Call Number
boyle5404b699141690,Boyle 540.4 B699.14 1690,Call Number,Call Number,Copy,Call Number
boyle5404b69915,Boyle 540.4 B699.15,Call Number,Call Number,Copy,Call Number
boyle5404b699151685,Boyle 540.4 B699.15 1685,Call Number,Call Number,Copy,Call Number
boyle5404b69916l,Boyle 540.4 B699.16.L,Call Number,Call Number,Copy,Call Number
boyle5404b69917,Boyle 540.4 B699.17,Call Number,Call Number,Copy,Call Number
boyle5404b699171665,Boyle 540.4 B699.17 1665,Call Number,Call Number,Copy,Call Number
boyle5404b69921725copy2,Boyle 540.4 B699.2 1725 copy 2,Call Number,Call Number,Copy,Call Number
boyle5404b69922,Boyle 540.4 B699.22,Call Number,Call Number,Copy,Call Number
boyle5404b69922copy2,Boyle 540.4 B699.22 copy 2,Call Number,Call Number,Copy,Call Number
boyle5404b69924,Boyle 540.4 B699.24,Call Number,Call Number,Copy,Call Number
boyle5404b69927,Boyle 540.4 B699.27,Call Number,Call Number,Copy,Call Number
boyle5404b69931664,Boyle 540.4 B699.3 1664,Call Number,Call Number,Copy,Call Number
boyle5404b69931664copy2,Boyle 540.4 B699.3 1664 copy 2,Call Number,Call Number,Copy,Call Number
boyle5404b6993yh,Boyle 540.4 B699.3yH,Call Number,Call Number,Copy,Call Number
boyle5404b6994,Boyle 540.4 B699.4,Call Number,Call Number,Copy,Call Number
boyle5404b6994a,Boyle 540.4 B699.4a,Call Number,Call Number,Copy,Call Number
boyle5404b69951669,Boyle 540.4 B699.5 1669,Call Number,Call Number,Copy,Call Number
boyle5404b6995l1669,Boyle 540.4 B699.5.L 1669,Call Number,Call Number,Copy,Call Number
boyle5404b6995l1680,Boyle 540.4 B699.5.L 1680,Call Number,Call Number,Copy,Call Number
boyle5404b6996,Boyle 540.4 B699.6,Call Number,Call Number,Copy,Call Number
boyle5404b69961664copy2,Boyle 540.4 B699.6 1664 copy 2,Call Number,Call Number,Copy,Call Number
boyle5404b69961671,Boyle 540.4 B699.6 1671,Call Number,Call Number,Copy,Call Number
boyle5404b6997,Boyle 540.4 B699.7,Call Number,Call Number,Copy,Call Number
boyle5404b6998a,Boyle 540.4 B699.8A,Call Number,Call Number,Copy,Call Number
boyle5404b6999,Boyle 540.4 B699.9,Call Number,Call Number,Copy,Call Number
boyle5404b699yh,Boyle 540.4 B699.yH,Call Number,Call Number,Copy,Call Number
boyleqc161b7911663,Boyle QC161.B791 1663,Call Number,Call Number,Copy,Call Number
boyleqc161b797,Boyle QC161.B797,Call Number,Call Number,Copy,Call Number
bs1700s41600,BS1700.S4 1600,Call Number,Call Number,Copy,Call Number
bt131b671762,BT131 .B67 1762,Call Number,Call Number,Copy,Call Number
bt1370o61569,BT1370.O6 1569,Call Number,Call Number,Copy,Call Number
bv4011j631599,BV4011.J63 1599,Call Number,Call Number,Copy,Call Number
bv481m4a81785,BV481.M4 A8 1785,Call Number,Call Number,Copy,Call Number
bx4630a1l461615,BX4630.A1 L46 1615,Call Number,Call Number,Copy,Call Number
czch9504w565v,CzC H9504 W565v,Call Number,Call Number,Copy,Call Number
czc6c734465711659,CzC6 C7344 6571 1659,Call Number,Call Number,Copy,Call Number
denc55r1762570b1574,DenC55 R1762 570b 1574,Call Number,Call Number,Copy,Call Number
