Normalized,Raw,Model,field
CURR:NO_MATCH:Tags added by POP - Ugly,Clean,Mitch's Category,Laura's Category,Model,Field,Basis 
ac7p1657780p,AC7 P1657 780p,Call Number,Call Number,Copy,Call Number,Secondary 
ac7p1657782lh,AC7 P1657 782lh,Call Number,Call Number,Copy,Call Number,Secondary 
ac7p1657786d,AC7 P1657 786d,Call Number,Call Number,Copy,Call Number,Secondary 
ac7p1657791r1792b,AC7 P1657 791r 1792b,Call Number,Call Number,Copy,Call Number,Secondary 
ac7p1657791r1792c,AC7 P1657 791r 1792c,Call Number,Call Number,Copy,Call Number,Secondary 
ac7p1657791r1792e,AC7 P1657 791r 1792e,Call Number,Call Number,Copy,Call Number,Secondary 
ac7p1657792l31793,AC7 P1657 792l3 1793,Call Number,Call Number,Copy,Call Number,Secondary 
ac7p1657792l3d,AC7 P1657 792l3d,Call Number,Call Number,Copy,Call Number,Secondary 
ac7p1657792lb,AC7 P1657 792lb,Call Number,Call Number,Copy,Call Number,Secondary 
ac7p1657792lj,AC7 P1657 792lj,Call Number,Call Number,Copy,Call Number,Secondary 
ac7p1657792lo,AC7 P1657 792lo,Call Number,Call Number,Copy,Call Number,Secondary 
ac7p1657792rb,AC7 P1657 792rb,Call Number,Call Number,Copy,Call Number,Secondary 
ac7p1657792rt,AC7 P1657 792rt,Call Number,Call Number,Copy,Call Number,Secondary 
ac7p1657c834t,AC7 P1657 C834t,Call Number,Call Number,Copy,Call Number,Secondary 
ac7p1657c844tcopy2,AC7 P1657 C844t copy 2,Call Number,Call Number,Copy,Call Number,Secondary 
ac7p1657ek821n,AC7 P1657 Ek821n,Call Number,Call Number,Copy,Call Number,Secondary 
ac7p1657ek822p,AC7 P1657 Ek822p,Call Number,Call Number,Copy,Call Number,Secondary 
ac7p1657en847t,AC7 P1657 En847t,Call Number,Call Number,Copy,Call Number,Secondary 
ac7p1657s850p,AC7 P1657 S850p,Call Number,Call Number,Copy,Call Number,Secondary 
ac7p1657t796a1820,AC7 P1657 T796a 1820,Call Number,Call Number,Copy,Call Number,Secondary 
ac7p1657w809c1817,AC7 P1657 W809c 1817,Call Number,Call Number,Copy,Call Number,Secondary 
ac7p1657w819h,AC7 P1657 W819h,Call Number,Call Number,Copy,Call Number,Secondary 
ac7p1657w819s1820,AC7 P1657 W819s 1820,Call Number,Call Number,Copy,Call Number,Secondary 
ac7p1657w834t,AC7 P1657 W834t,Call Number,Call Number,Copy,Call Number,Secondary 
ac7p1657w876s,AC7 P1657 W876s,Call Number,Call Number,Copy,Call Number,Secondary 
ac7p1657w892c1900,AC7 P1657 W892c 1900,Call Number,Call Number,Copy,Call Number,Secondary 
ac7p1657w937t,AC7 P1657 W937t,Call Number,Call Number,Copy,Call Number,Secondary 
ac7p2694700u,AC7 P2694 700u,Call Number,Call Number,Copy,Call Number,Secondary 
ac7p3696a777ab,AC7 P3696 A777ab,Call Number,Call Number,Copy,Call Number,Secondary 
ac7p6355788n1816,AC7 P6355 788n 1816,Call Number,Call Number,Copy,Call Number,Secondary 
ac7p7728774k,AC7 P7728 774k,Call Number,Call Number,Copy,Call Number,Secondary 
ac7p8478747j1896,AC7 P8478 747j 1896,Call Number,Call Number,Copy,Call Number,Secondary 
ac7p9353840m,AC7 P9353 840m,Call Number,Call Number,Copy,Call Number,Secondary 
ac7p9367736c,AC7 P9367 736c,Call Number,Call Number,Copy,Call Number,Secondary 
ac7r5148a789l,AC7 R5148 A789l,Call Number,Call Number,Copy,Call Number,Secondary 
ac7r7338752c1782,AC7 R7338 752c 1782,Call Number,Call Number,Copy,Call Number,Secondary 
ac7r8953768d,AC7 R8953 768d,Call Number,Call Number,Copy,Call Number,Secondary 
